       211  1.7000e+01  9.5000e+01  0.0000e+00  1.9672e+08  1.1202e+04  1.0155e+04  1.5098e+02  7.8406e-10 -2.1313e-10  6.4433e-03 
       211  1.7000e+01  9.5000e+01  0.0000e+00  9.1955e+07  1.0799e+04  1.0067e+04  6.1696e+01  3.6251e-06 -5.9584e-10  1.4743e-02 
       211  1.7000e+01  9.5000e+01  0.0000e+00  1.0735e+08  1.0899e+04  1.0160e+04  7.3278e+01  2.0818e-10 -1.7945e-11  2.2717e-03 
       211  1.7000e+01  9.5000e+01  0.0000e+00  9.5505e+07  1.0824e+04  1.0097e+04  6.5276e+01  2.3282e-05 -2.4015e-09  2.8238e-02 
       211  1.7000e+01  9.5000e+01  0.0000e+00  2.6714e+08  1.1165e+04  1.0236e+04  1.2830e+02  3.7285e-11 -1.1852e-10  8.8547e-03 
       211  1.7000e+01  9.5000e+01  0.0000e+00  9.1686e+07  1.0809e+04  1.0079e+04  6.9722e+01  3.2373e-05 -3.4248e-09  6.1081e-02 
       211  1.7000e+01  9.5000e+01  0.0000e+00  8.1239e+09  1.3291e+04  1.0298e+04  6.7738e+02  4.0273e-10 -7.3715e-11  3.4200e-03 
       211  1.7000e+01  9.5000e+01  0.0000e+00  9.6421e+07  1.0837e+04  1.0114e+04  8.9198e+01  2.2300e-05 -2.4742e-09  8.8025e-02 
       211  1.7000e+01  9.5000e+01  0.0000e+00  9.4245e+07  1.0802e+04  1.0103e+04  8.0031e+01  4.5013e-05 -4.9826e-09  9.1125e-02 
       211  1.7000e+01  9.5000e+01  0.0000e+00  7.3293e+07  1.0780e+04  1.0072e+04  7.0730e+01  5.4769e-05 -6.0918e-09  1.0509e-01 
       211  1.7000e+01  9.5000e+01  0.0000e+00  9.1539e+07  1.0889e+04  1.0147e+04  9.6155e+01 -3.0863e-09  7.3687e-11  6.1047e-02 
       211  1.7000e+01  9.5000e+01  0.0000e+00  2.5037e+08  1.1226e+04  1.0240e+04  1.2797e+02  4.2368e-06 -1.0208e-09  1.6059e-03 
       211  1.7000e+01  9.5000e+01  0.0000e+00  1.1211e+08  1.0840e+04  1.0071e+04  7.9441e+01  5.4588e-05 -6.0563e-09  1.3670e-01 
       211  1.7000e+01  9.5000e+01  0.0000e+00  9.0127e+07  1.0848e+04  1.0073e+04  7.9429e+01  3.0415e-05 -3.3997e-09  7.7139e-02 
       211  1.7000e+01  9.5000e+01  0.0000e+00  2.2535e+08  1.1096e+04  1.0081e+04  1.2618e+02 -2.7798e-06 -1.7377e-10  5.0859e-02 
       211  1.7000e+01  9.5000e+01  0.0000e+00  1.1664e+08  1.0887e+04  1.0127e+04  8.7819e+01  5.0472e-05 -5.1447e-09  7.9465e-02 
