  3.55E-05  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.47E-05  7.67E-07  3.55E-05  2.09E-04  4.09E-04  9.85E-04  1.49E-03  2.88E-03  4.33E-03  2.51E-03  1.20E-02
  5.63E-05  2.56E-06  7.10E-05  4.55E-04  8.55E-04  2.38E-03  2.73E-03  5.76E-03  8.66E-03  7.12E-03  1.58E-02
  7.09E-05  4.60E-06  1.09E-04  8.36E-04  1.82E-03  5.01E-03  5.96E-03  9.87E-03  1.49E-02  1.47E-02  3.34E-02
  8.92E-05  9.20E-06  2.39E-04  1.29E-03  3.79E-03  9.11E-03  9.94E-03  1.79E-02  2.41E-02  2.72E-02  5.10E-02
  1.12E-04  1.38E-05  4.50E-04  2.42E-03  6.69E-03  1.46E-02  1.83E-02  2.94E-02  4.14E-02  4.90E-02  8.99E-02
  1.41E-04  2.58E-05  8.21E-04  3.98E-03  1.11E-02  2.34E-02  3.14E-02  5.12E-02  6.20E-02  7.91E-02  1.35E-01
  1.78E-04  4.27E-05  1.39E-03  6.97E-03  1.77E-02  3.75E-02  4.82E-02  7.83E-02  9.42E-02  1.13E-01  2.05E-01
  2.24E-04  7.18E-05  2.17E-03  1.13E-02  2.81E-02  5.77E-02  7.28E-02  1.13E-01  1.34E-01  1.55E-01  2.72E-01
  2.82E-04  1.11E-04  3.36E-03  1.71E-02  4.34E-02  8.46E-02  1.08E-01  1.57E-01  1.85E-01  2.22E-01  3.51E-01
  3.55E-04  1.78E-04  5.31E-03  2.59E-02  6.62E-02  1.20E-01  1.53E-01  2.17E-01  2.51E-01  2.97E-01  4.47E-01
  4.47E-04  2.85E-04  7.78E-03  3.81E-02  9.59E-02  1.64E-01  2.08E-01  2.83E-01  3.24E-01  3.88E-01  5.38E-01
  5.63E-04  4.89E-04  1.15E-02  5.56E-02  1.31E-01  2.18E-01  2.77E-01  3.62E-01  4.08E-01  4.93E-01  6.30E-01
  7.09E-04  8.10E-04  1.67E-02  7.72E-02  1.78E-01  2.84E-01  3.60E-01  4.48E-01  4.98E-01  5.80E-01  7.30E-01
  8.92E-04  1.38E-03  2.37E-02  1.06E-01  2.33E-01  3.63E-01  4.44E-01  5.42E-01  5.90E-01  6.69E-01  8.11E-01
  1.12E-03  2.44E-03  3.29E-02  1.41E-01  2.98E-01  4.48E-01  5.31E-01  6.31E-01  6.85E-01  7.56E-01  8.75E-01
  1.41E-03  4.44E-03  4.54E-02  1.82E-01  3.73E-01  5.33E-01  6.19E-01  7.16E-01  7.68E-01  8.27E-01  9.17E-01
  1.78E-03  8.10E-03  6.17E-02  2.29E-01  4.52E-01  6.19E-01  6.98E-01  7.95E-01  8.37E-01  8.80E-01  9.42E-01
  2.24E-03  1.45E-02  8.16E-02  2.85E-01  5.30E-01  7.00E-01  7.72E-01  8.55E-01  8.87E-01  9.23E-01  9.64E-01
  2.82E-03  2.48E-02  1.07E-01  3.42E-01  6.05E-01  7.74E-01  8.38E-01  9.03E-01  9.28E-01  9.55E-01  9.84E-01
  3.55E-03  4.03E-02  1.37E-01  4.00E-01  6.78E-01  8.29E-01  8.88E-01  9.36E-01  9.58E-01  9.76E-01  9.91E-01
  4.47E-03  6.22E-02  1.73E-01  4.58E-01  7.36E-01  8.77E-01  9.21E-01  9.58E-01  9.76E-01  9.88E-01  9.96E-01
  5.63E-03  9.05E-02  2.12E-01  5.14E-01  7.90E-01  9.14E-01  9.46E-01  9.74E-01  9.86E-01  9.93E-01  9.99E-01
  7.09E-03  1.25E-01  2.56E-01  5.68E-01  8.34E-01  9.40E-01  9.64E-01  9.87E-01  9.92E-01  9.97E-01  1.00E+00
  8.92E-03  1.65E-01  3.02E-01  6.17E-01  8.70E-01  9.58E-01  9.77E-01  9.92E-01  9.95E-01  1.00E+00  1.00E+00
  1.12E-02  2.10E-01  3.50E-01  6.61E-01  8.96E-01  9.73E-01  9.85E-01  9.96E-01  9.98E-01  1.00E+00  1.00E+00
