  2.00E-04  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.51E-04  8.67E-06  1.89E-04  1.02E-03  4.70E-03  8.47E-03  1.81E-02  1.95E-02  1.80E-02  6.58E-02  7.45E-02  1.57E-01  1.02E-01
  3.16E-04  1.30E-05  3.16E-04  1.53E-03  6.34E-03  1.24E-02  2.33E-02  2.51E-02  3.06E-02  9.09E-02  1.12E-01  2.13E-01  1.22E-01
  3.98E-04  1.30E-05  4.42E-04  2.49E-03  8.18E-03  1.75E-02  3.01E-02  3.77E-02  5.22E-02  1.22E-01  1.33E-01  2.81E-01  1.63E-01
  5.01E-04  4.77E-05  6.95E-04  3.40E-03  1.10E-02  2.26E-02  4.39E-02  5.86E-02  7.55E-02  1.41E-01  1.86E-01  3.26E-01  2.86E-01
  6.31E-04  6.50E-05  1.01E-03  4.70E-03  1.62E-02  3.44E-02  5.51E-02  7.53E-02  1.04E-01  1.76E-01  2.13E-01  3.93E-01  4.08E-01
  7.95E-04  9.10E-05  1.52E-03  6.29E-03  2.11E-02  4.86E-02  7.24E-02  9.90E-02  1.33E-01  2.16E-01  2.82E-01  4.72E-01  5.31E-01
  1.00E-03  1.30E-04  2.21E-03  8.10E-03  2.82E-02  6.21E-02  9.65E-02  1.28E-01  1.62E-01  2.60E-01  3.62E-01  5.28E-01  5.71E-01
  1.26E-03  1.65E-04  2.86E-03  1.15E-02  3.87E-02  8.24E-02  1.19E-01  1.73E-01  2.14E-01  3.20E-01  4.15E-01  6.18E-01  6.33E-01
  1.59E-03  1.99E-04  4.04E-03  1.52E-02  5.26E-02  1.09E-01  1.52E-01  2.32E-01  2.57E-01  3.82E-01  4.57E-01  6.63E-01  7.35E-01
  2.00E-03  3.29E-04  5.40E-03  2.08E-02  6.85E-02  1.41E-01  1.95E-01  2.86E-01  3.15E-01  4.42E-01  5.59E-01  7.53E-01  8.98E-01
  2.51E-03  4.81E-04  7.41E-03  2.88E-02  8.69E-02  1.74E-01  2.52E-01  3.56E-01  3.92E-01  4.98E-01  6.54E-01  8.20E-01  9.18E-01
  3.16E-03  7.24E-04  9.92E-03  3.68E-02  1.15E-01  2.21E-01  3.03E-01  4.06E-01  4.62E-01  5.58E-01  7.18E-01  8.88E-01  9.39E-01
  3.98E-03  1.01E-03  1.32E-02  4.93E-02  1.46E-01  2.83E-01  3.68E-01  4.91E-01  5.38E-01  6.27E-01  7.93E-01  9.33E-01  9.59E-01
  5.01E-03  1.50E-03  1.79E-02  6.30E-02  1.83E-01  3.48E-01  4.34E-01  5.63E-01  5.92E-01  7.02E-01  8.56E-01  9.55E-01  9.80E-01
  6.31E-03  2.31E-03  2.39E-02  8.01E-02  2.23E-01  4.08E-01  5.14E-01  6.40E-01  6.64E-01  7.87E-01  9.04E-01  9.66E-01  9.80E-01
  7.95E-03  3.88E-03  3.21E-02  1.01E-01  2.64E-01  4.87E-01  5.70E-01  7.07E-01  7.21E-01  8.43E-01  9.31E-01  9.78E-01  9.80E-01
  1.00E-02  6.99E-03  4.26E-02  1.27E-01  3.10E-01  5.54E-01  6.44E-01  7.73E-01  7.97E-01  8.78E-01  9.41E-01  9.78E-01  1.00E+00
  1.26E-02  1.24E-02  5.65E-02  1.56E-01  3.62E-01  6.31E-01  7.03E-01  8.13E-01  8.53E-01  9.03E-01  9.68E-01  9.78E-01  1.00E+00
  1.59E-02  2.16E-02  7.42E-02  1.90E-01  4.14E-01  7.02E-01  7.72E-01  8.65E-01  8.96E-01  9.34E-01  9.89E-01  1.00E+00  1.00E+00
  2.00E-02  3.62E-02  9.81E-02  2.28E-01  4.68E-01  7.58E-01  8.24E-01  9.14E-01  9.33E-01  9.56E-01  9.95E-01  1.00E+00  1.00E+00
